,Control Sacarosa 25%m/V,,Bb 100%,,Bb : Sac 75 : 25,,Bb : Sac 50 : 50,,Bb : Sac 25 : 75,,Bb + Q 100%,,Bb + Q : Sac 75 : 25,,Bb + Q : Sac 50 : 50,,Bb + Q : Sac 25 : 75
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1
1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1
1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,1,1
1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,1,2,1
2,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
2,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1
2,1,3,1,3,1,2,1,2,1,2,1,2,1,2,1,2,1
2,1,,,,,2,1,2,1,2,1,2,1,2,1,2,1
2,1,,,,,2,1,2,1,2,1,2,1,2,1,2,1
2,1,,,,,2,1,2,1,2,1,2,1,3,1,2,1
2,1,,,,,2,1,2,1,2,1,2,1,3,1,2,1
2,1,,,,,2,1,2,1,2,1,2,1,3,1,2,1
2,1,,,,,2,1,2,1,3,0,2,1,3,1,2,1
2,1,,,,,3,1,2,1,,,2,1,3,1,2,1
2,1,,,,,3,1,2,1,,,2,1,3,1,2,1
2,1,,,,,3,1,2,1,,,2,1,3,1,2,1
2,1,,,,,3,1,3,1,,,2,1,3,1,2,1
2,1,,,,,3,1,3,1,,,2,1,3,1,2,1
2,1,,,,,3,1,3,1,,,2,1,,,2,1
2,1,,,,,3,1,3,1,,,2,1,,,2,1
2,1,,,,,3,1,,,,,2,1,,,2,1
3,0,,,,,3,1,,,,,2,1,,,2,1
,,,,,,3,1,,,,,2,1,,,2,1
,,,,,,3,1,,,,,3,1,,,2,1
,,,,,,,,,,,,3,1,,,2,1
,,,,,,,,,,,,3,1,,,3,1
,,,,,,,,,,,,3,1,,,3,1
,,,,,,,,,,,,3,1,,,,
,,,,,,,,,,,,3,1,,,,
